site_code,site,site_type,density_class,n,prop_surveys
GR,Green Rock,High Density,10 to <15,4,0.08695652173913043
GR,Green Rock,High Density,15 to <30,13,0.2826086956521739
GR,Green Rock,High Density,30 to <40,7,0.15217391304347827
GR,Green Rock,High Density,40+,22,0.4782608695652174
RR,Red Rock,High Density,10 to <15,2,0.06060606060606061
RR,Red Rock,High Density,15 to <30,12,0.36363636363636365
RR,Red Rock,High Density,30 to <40,11,0.3333333333333333
RR,Red Rock,High Density,40+,8,0.24242424242424243
TW,NA,High Density,Below 10,3,0.13636363636363635
TW,NA,High Density,10 to <15,1,0.045454545454545456
TW,NA,High Density,15 to <30,7,0.3181818181818182
TW,NA,High Density,30 to <40,2,0.09090909090909091
TW,NA,High Density,40+,9,0.4090909090909091
AL,Aow Leuk,Control,Below 10,9,0.47368421052631576
AL,Aow Leuk,Control,10 to <15,5,0.2631578947368421
AL,Aow Leuk,Control,15 to <30,5,0.2631578947368421
SI,Shark Island,Control,Below 10,14,0.7
SI,Shark Island,Control,10 to <15,3,0.15
SI,Shark Island,Control,15 to <30,3,0.15
TB,Tanote Bay,Control,Below 10,9,1
