site_code,site,site_type,transect,HC,HC_prop
AL,Aow Leuk,Control,AL1,26.96,0.2696
AL,Aow Leuk,Control,AL2,22.017614091273018,0.2201761409127302
AL,Aow Leuk,Control,AL3,31.11467522052927,0.3111467522052927
AL,Aow Leuk,Control,AL4,22.248995983935743,0.22248995983935743
AL,Aow Leuk,Control,AL5,57.99999999999999,0.58
AL,Aow Leuk,Control,AL6,25.759999999999998,0.2576
AL,Aow Leuk,Control,AL7,30.8,0.308
AL,Aow Leuk,Control,AL8,56.592592592592595,0.5659259259259259
AL,Aow Leuk,Control,AL9,27.884615384615387,0.27884615384615385
SI,Shark Island,Control,SI1,75.10008006405124,0.7510008006405124
SI,Shark Island,Control,SI2,44.32,0.4432
SI,Shark Island,Control,SI3,69.6,0.696
SI,Shark Island,Control,SI4,57.856567284448026,0.5785656728444802
SI,Shark Island,Control,SI5,72.19983883964545,0.7219983883964545
SI,Shark Island,Control,SI6,81.28,0.8128
SI,Shark Island,Control,SI7,44.96,0.4496
TB,Tanote Bay,Control,TB1,66.64,0.6664
TB,Tanote Bay,Control,TB2,55.084067253803035,0.5508406725380304
TB,Tanote Bay,Control,TB3,55.2,0.552
TB,Tanote Bay,Control,TB4,46.036829463570854,0.46036829463570855
TB,Tanote Bay,Control,TB5,51.64658634538153,0.5164658634538153
TB,Tanote Bay,Control,TB6,35.50488599348534,0.35504885993485336
TB,Tanote Bay,Control,TB7,48.31460674157304,0.48314606741573035
GR,Green Rock,High Density,GR1,39.519999999999996,0.39519999999999994
GR,Green Rock,High Density,GR2,27.200000000000003,0.272
GR,Green Rock,High Density,GR3,45.28,0.45280000000000004
GR,Green Rock,High Density,GR4,58.08,0.5808
GR,Green Rock,High Density,GR5,29.15601023017903,0.2915601023017903
GR,Green Rock,High Density,GR6,20.394736842105264,0.20394736842105263
GR,Green Rock,High Density,GR7,26.380873866446823,0.26380873866446825
GR,Green Rock,High Density,GR8,60.21052631578947,0.6021052631578947
RR,Red Rock,High Density,RR1,48.4,0.484
RR,Red Rock,High Density,RR2,55.84,0.5584
RR,Red Rock,High Density,RR3,46.88,0.46880000000000005
RR,Red Rock,High Density,RR4,52.44195356285029,0.5244195356285029
RR,Red Rock,High Density,RR5,39.55659276546091,0.39556592765460913
RR,Red Rock,High Density,RR6,50.12244897959184,0.5012244897959184
TW,NA,High Density,TW1,51.24099279423538,0.5124099279423538
TW,NA,High Density,TW2,31.916599839615078,0.3191659983961508
TW,NA,High Density,TW3,36.559999999999995,0.3655999999999999
TW,NA,High Density,TW4,26.479999999999997,0.2648
TW,NA,High Density,TW5,42.38782051282051,0.4238782051282051
