KT,site_code,site,site_type,transect,HC,HC_prop,KC
10,GR,Green Rock,High Density,GR1,39.519999999999996,0.39519999999999994,25.30364372469636
10,GR,Green Rock,High Density,GR2,27.200000000000003,0.272,36.76470588235294
10,GR,Green Rock,High Density,GR3,45.28,0.45280000000000004,22.084805653710244
10,GR,Green Rock,High Density,GR4,58.08,0.5808,17.21763085399449
10,GR,Green Rock,High Density,GR5,29.15601023017903,0.2915601023017903,34.29824561403508
10,GR,Green Rock,High Density,GR6,20.394736842105264,0.20394736842105263,49.03225806451613
10,GR,Green Rock,High Density,GR7,26.380873866446823,0.26380873866446825,37.90625
10,GR,Green Rock,High Density,GR8,60.21052631578947,0.6021052631578947,16.60839160839161
10,RR,Red Rock,High Density,RR1,48.4,0.484,20.66115702479339
10,RR,Red Rock,High Density,RR2,55.84,0.5584,17.908309455587393
10,RR,Red Rock,High Density,RR3,46.88,0.46880000000000005,21.331058020477812
10,RR,Red Rock,High Density,RR4,52.44195356285029,0.5244195356285029,19.068702290076335
10,RR,Red Rock,High Density,RR5,39.55659276546091,0.39556592765460913,25.280235988200587
10,RR,Red Rock,High Density,RR6,50.12244897959184,0.5012244897959184,19.95114006514658
10,TW,NA,High Density,TW1,51.24099279423538,0.5124099279423538,19.515625
10,TW,NA,High Density,TW2,31.916599839615078,0.3191659983961508,31.331658291457284
10,TW,NA,High Density,TW3,36.559999999999995,0.3655999999999999,27.352297592997818
10,TW,NA,High Density,TW4,26.479999999999997,0.2648,37.764350453172206
10,TW,NA,High Density,TW5,42.38782051282051,0.4238782051282051,23.591682419659737
10,AL,Aow Leuk,Control,AL1,26.96,0.2696,37.0919881305638
10,AL,Aow Leuk,Control,AL2,22.017614091273018,0.2201761409127302,45.418181818181814
10,AL,Aow Leuk,Control,AL3,31.11467522052927,0.3111467522052927,32.13917525773196
10,AL,Aow Leuk,Control,AL4,22.248995983935743,0.22248995983935743,44.94584837545126
10,AL,Aow Leuk,Control,AL5,57.99999999999999,0.58,17.24137931034483
10,AL,Aow Leuk,Control,AL6,25.759999999999998,0.2576,38.81987577639752
10,AL,Aow Leuk,Control,AL7,30.8,0.308,32.467532467532465
10,AL,Aow Leuk,Control,AL8,56.592592592592595,0.5659259259259259,17.670157068062828
10,AL,Aow Leuk,Control,AL9,27.884615384615387,0.27884615384615385,35.86206896551724
10,SI,Shark Island,Control,SI1,75.10008006405124,0.7510008006405124,13.315565031982942
10,SI,Shark Island,Control,SI2,44.32,0.4432,22.56317689530686
10,SI,Shark Island,Control,SI3,69.6,0.696,14.367816091954024
10,SI,Shark Island,Control,SI4,57.856567284448026,0.5785656728444802,17.284122562674096
10,SI,Shark Island,Control,SI5,72.19983883964545,0.7219983883964545,13.850446428571429
10,SI,Shark Island,Control,SI6,81.28,0.8128,12.303149606299213
10,SI,Shark Island,Control,SI7,44.96,0.4496,22.24199288256228
10,TB,Tanote Bay,Control,TB1,66.64,0.6664,15.006002400960384
10,TB,Tanote Bay,Control,TB2,55.084067253803035,0.5508406725380304,18.15406976744186
10,TB,Tanote Bay,Control,TB3,55.2,0.552,18.115942028985504
10,TB,Tanote Bay,Control,TB4,46.036829463570854,0.46036829463570855,21.721739130434784
10,TB,Tanote Bay,Control,TB5,51.64658634538153,0.5164658634538153,19.36236391912908
10,TB,Tanote Bay,Control,TB6,35.50488599348534,0.35504885993485336,28.165137614678905
10,TB,Tanote Bay,Control,TB7,48.31460674157304,0.48314606741573035,20.69767441860465
15,GR,Green Rock,High Density,GR1,39.519999999999996,0.39519999999999994,37.95546558704454
15,GR,Green Rock,High Density,GR2,27.200000000000003,0.272,55.147058823529406
15,GR,Green Rock,High Density,GR3,45.28,0.45280000000000004,33.12720848056537
15,GR,Green Rock,High Density,GR4,58.08,0.5808,25.826446280991735
15,GR,Green Rock,High Density,GR5,29.15601023017903,0.2915601023017903,51.44736842105263
15,GR,Green Rock,High Density,GR6,20.394736842105264,0.20394736842105263,73.54838709677419
15,GR,Green Rock,High Density,GR7,26.380873866446823,0.26380873866446825,56.859375
15,GR,Green Rock,High Density,GR8,60.21052631578947,0.6021052631578947,24.912587412587413
15,RR,Red Rock,High Density,RR1,48.4,0.484,30.991735537190085
15,RR,Red Rock,High Density,RR2,55.84,0.5584,26.86246418338109
15,RR,Red Rock,High Density,RR3,46.88,0.46880000000000005,31.99658703071672
15,RR,Red Rock,High Density,RR4,52.44195356285029,0.5244195356285029,28.6030534351145
15,RR,Red Rock,High Density,RR5,39.55659276546091,0.39556592765460913,37.92035398230088
15,RR,Red Rock,High Density,RR6,50.12244897959184,0.5012244897959184,29.92671009771987
15,TW,NA,High Density,TW1,51.24099279423538,0.5124099279423538,29.273437500000004
15,TW,NA,High Density,TW2,31.916599839615078,0.3191659983961508,46.997487437185924
15,TW,NA,High Density,TW3,36.559999999999995,0.3655999999999999,41.02844638949673
15,TW,NA,High Density,TW4,26.479999999999997,0.2648,56.64652567975831
15,TW,NA,High Density,TW5,42.38782051282051,0.4238782051282051,35.38752362948961
15,AL,Aow Leuk,Control,AL1,26.96,0.2696,55.637982195845694
15,AL,Aow Leuk,Control,AL2,22.017614091273018,0.2201761409127302,68.12727272727273
15,AL,Aow Leuk,Control,AL3,31.11467522052927,0.3111467522052927,48.20876288659794
15,AL,Aow Leuk,Control,AL4,22.248995983935743,0.22248995983935743,67.4187725631769
15,AL,Aow Leuk,Control,AL5,57.99999999999999,0.58,25.862068965517242
15,AL,Aow Leuk,Control,AL6,25.759999999999998,0.2576,58.22981366459627
15,AL,Aow Leuk,Control,AL7,30.8,0.308,48.701298701298704
15,AL,Aow Leuk,Control,AL8,56.592592592592595,0.5659259259259259,26.50523560209424
15,AL,Aow Leuk,Control,AL9,27.884615384615387,0.27884615384615385,53.79310344827586
15,SI,Shark Island,Control,SI1,75.10008006405124,0.7510008006405124,19.973347547974413
15,SI,Shark Island,Control,SI2,44.32,0.4432,33.84476534296029
15,SI,Shark Island,Control,SI3,69.6,0.696,21.551724137931036
15,SI,Shark Island,Control,SI4,57.856567284448026,0.5785656728444802,25.926183844011142
15,SI,Shark Island,Control,SI5,72.19983883964545,0.7219983883964545,20.775669642857142
15,SI,Shark Island,Control,SI6,81.28,0.8128,18.45472440944882
15,SI,Shark Island,Control,SI7,44.96,0.4496,33.362989323843415
15,TB,Tanote Bay,Control,TB1,66.64,0.6664,22.509003601440575
