site_code,site,site_type,survey_id,date,N0,KT,basin
GR,Green Rock,High Density,GR1,2020-05-19,45,10,Outbreak basin
GR,Green Rock,High Density,GR1,2020-05-19,45,15,Outbreak basin
GR,Green Rock,High Density,GR1,2020-05-19,45,20,Outbreak basin
GR,Green Rock,High Density,GR1,2020-05-19,45,30,Outbreak basin
GR,Green Rock,High Density,GR1,2020-05-19,45,40,Outbreak basin
GR,Green Rock,High Density,GR10,2020-08-18,45,10,Outbreak basin
GR,Green Rock,High Density,GR10,2020-08-18,45,15,Outbreak basin
GR,Green Rock,High Density,GR10,2020-08-18,45,20,Outbreak basin
GR,Green Rock,High Density,GR10,2020-08-18,45,30,Outbreak basin
GR,Green Rock,High Density,GR10,2020-08-18,45,40,Outbreak basin
GR,Green Rock,High Density,GR11,2020-08-21,20,10,Outbreak basin
GR,Green Rock,High Density,GR11,2020-08-21,20,15,Outbreak basin
GR,Green Rock,High Density,GR11,2020-08-21,20,20,Threshold
GR,Green Rock,High Density,GR11,2020-08-21,20,30,Endemic basin
GR,Green Rock,High Density,GR11,2020-08-21,20,40,Endemic basin
GR,Green Rock,High Density,GR12,2020-08-21,30,10,Outbreak basin
GR,Green Rock,High Density,GR12,2020-08-21,30,15,Outbreak basin
GR,Green Rock,High Density,GR12,2020-08-21,30,20,Outbreak basin
GR,Green Rock,High Density,GR12,2020-08-21,30,30,Threshold
GR,Green Rock,High Density,GR12,2020-08-21,30,40,Endemic basin
GR,Green Rock,High Density,GR13,2020-09-22,40,10,Outbreak basin
GR,Green Rock,High Density,GR13,2020-09-22,40,15,Outbreak basin
GR,Green Rock,High Density,GR13,2020-09-22,40,20,Outbreak basin
GR,Green Rock,High Density,GR13,2020-09-22,40,30,Outbreak basin
GR,Green Rock,High Density,GR13,2020-09-22,40,40,Threshold
GR,Green Rock,High Density,GR14,2020-09-27,45,10,Outbreak basin
GR,Green Rock,High Density,GR14,2020-09-27,45,15,Outbreak basin
GR,Green Rock,High Density,GR14,2020-09-27,45,20,Outbreak basin
GR,Green Rock,High Density,GR14,2020-09-27,45,30,Outbreak basin
GR,Green Rock,High Density,GR14,2020-09-27,45,40,Outbreak basin
GR,Green Rock,High Density,GR15,2020-09-29,45,10,Outbreak basin
GR,Green Rock,High Density,GR15,2020-09-29,45,15,Outbreak basin
GR,Green Rock,High Density,GR15,2020-09-29,45,20,Outbreak basin
GR,Green Rock,High Density,GR15,2020-09-29,45,30,Outbreak basin
GR,Green Rock,High Density,GR15,2020-09-29,45,40,Outbreak basin
GR,Green Rock,High Density,GR16,2022-10-20,50,10,Outbreak basin
GR,Green Rock,High Density,GR16,2022-10-20,50,15,Outbreak basin
GR,Green Rock,High Density,GR16,2022-10-20,50,20,Outbreak basin
GR,Green Rock,High Density,GR16,2022-10-20,50,30,Outbreak basin
GR,Green Rock,High Density,GR16,2022-10-20,50,40,Outbreak basin
GR,Green Rock,High Density,GR17,2022-11-22,30,10,Outbreak basin
GR,Green Rock,High Density,GR17,2022-11-22,30,15,Outbreak basin
GR,Green Rock,High Density,GR17,2022-11-22,30,20,Outbreak basin
GR,Green Rock,High Density,GR17,2022-11-22,30,30,Threshold
GR,Green Rock,High Density,GR17,2022-11-22,30,40,Endemic basin
GR,Green Rock,High Density,GR18,2023-10-04,25,10,Outbreak basin
GR,Green Rock,High Density,GR18,2023-10-04,25,15,Outbreak basin
GR,Green Rock,High Density,GR18,2023-10-04,25,20,Outbreak basin
GR,Green Rock,High Density,GR18,2023-10-04,25,30,Endemic basin
GR,Green Rock,High Density,GR18,2023-10-04,25,40,Endemic basin
GR,Green Rock,High Density,GR19,2024-02-03,15,10,Outbreak basin
GR,Green Rock,High Density,GR19,2024-02-03,15,15,Threshold
GR,Green Rock,High Density,GR19,2024-02-03,15,20,Endemic basin
GR,Green Rock,High Density,GR19,2024-02-03,15,30,Endemic basin
GR,Green Rock,High Density,GR19,2024-02-03,15,40,Endemic basin
GR,Green Rock,High Density,GR2,2020-05-19,50,10,Outbreak basin
GR,Green Rock,High Density,GR2,2020-05-19,50,15,Outbreak basin
GR,Green Rock,High Density,GR2,2020-05-19,50,20,Outbreak basin
GR,Green Rock,High Density,GR2,2020-05-19,50,30,Outbreak basin
GR,Green Rock,High Density,GR2,2020-05-19,50,40,Outbreak basin
GR,Green Rock,High Density,GR20,2024-02-20,55,10,Outbreak basin
GR,Green Rock,High Density,GR20,2024-02-20,55,15,Outbreak basin
GR,Green Rock,High Density,GR20,2024-02-20,55,20,Outbreak basin
GR,Green Rock,High Density,GR20,2024-02-20,55,30,Outbreak basin
GR,Green Rock,High Density,GR20,2024-02-20,55,40,Outbreak basin
GR,Green Rock,High Density,GR21,2024-03-25,25,10,Outbreak basin
GR,Green Rock,High Density,GR21,2024-03-25,25,15,Outbreak basin
GR,Green Rock,High Density,GR21,2024-03-25,25,20,Outbreak basin
GR,Green Rock,High Density,GR21,2024-03-25,25,30,Endemic basin
GR,Green Rock,High Density,GR21,2024-03-25,25,40,Endemic basin
GR,Green Rock,High Density,GR22,2024-04-09,35,10,Outbreak basin
GR,Green Rock,High Density,GR22,2024-04-09,35,15,Outbreak basin
GR,Green Rock,High Density,GR22,2024-04-09,35,20,Outbreak basin
GR,Green Rock,High Density,GR22,2024-04-09,35,30,Outbreak basin
GR,Green Rock,High Density,GR22,2024-04-09,35,40,Endemic basin
GR,Green Rock,High Density,GR23,2024-04-16,40,10,Outbreak basin
GR,Green Rock,High Density,GR23,2024-04-16,40,15,Outbreak basin
GR,Green Rock,High Density,GR23,2024-04-16,40,20,Outbreak basin
GR,Green Rock,High Density,GR23,2024-04-16,40,30,Outbreak basin
GR,Green Rock,High Density,GR23,2024-04-16,40,40,Threshold
GR,Green Rock,High Density,GR24,2024-06-04,40,10,Outbreak basin
GR,Green Rock,High Density,GR24,2024-06-04,40,15,Outbreak basin
GR,Green Rock,High Density,GR24,2024-06-04,40,20,Outbreak basin
GR,Green Rock,High Density,GR24,2024-06-04,40,30,Outbreak basin
GR,Green Rock,High Density,GR24,2024-06-04,40,40,Threshold
GR,Green Rock,High Density,GR25,2024-08-03,30,10,Outbreak basin
GR,Green Rock,High Density,GR25,2024-08-03,30,15,Outbreak basin
GR,Green Rock,High Density,GR25,2024-08-03,30,20,Outbreak basin
GR,Green Rock,High Density,GR25,2024-08-03,30,30,Threshold
GR,Green Rock,High Density,GR25,2024-08-03,30,40,Endemic basin
GR,Green Rock,High Density,GR26,2024-08-26,70,10,Outbreak basin
GR,Green Rock,High Density,GR26,2024-08-26,70,15,Outbreak basin
GR,Green Rock,High Density,GR26,2024-08-26,70,20,Outbreak basin
GR,Green Rock,High Density,GR26,2024-08-26,70,30,Outbreak basin
GR,Green Rock,High Density,GR26,2024-08-26,70,40,Outbreak basin
GR,Green Rock,High Density,GR27,2024-10-16,55,10,Outbreak basin
GR,Green Rock,High Density,GR27,2024-10-16,55,15,Outbreak basin
GR,Green Rock,High Density,GR27,2024-10-16,55,20,Outbreak basin
GR,Green Rock,High Density,GR27,2024-10-16,55,30,Outbreak basin
GR,Green Rock,High Density,GR27,2024-10-16,55,40,Outbreak basin
GR,Green Rock,High Density,GR28,2024-10-21,20,10,Outbreak basin
