site_code,N0,HC_prop,KE,KT,KC_raw,KC,scale,KC_constrained,sim_id,basin_start
GR,55,0.39519999999999994,8.813133382471278,34.252365566790104,86.67096550301142,86.67096550301142,0.004735429773985112,FALSE,1,Outbreak basin
RR,30,0.5244195356285029,6.236049757804722,43.20043568266556,82.37762468343401,82.37762468343401,0.018737080639396553,FALSE,2,Endemic
AL,15,0.3111467522052927,9.922242102446035,43.400046976748854,139.48417159795315,139.48417159795315,0.00128012899903811,FALSE,3,Endemic
AL,5,0.58,8.16316932439804,39.33165423804894,67.81319696215336,67.81319696215336,0.003198457007831751,FALSE,4,Endemic
TW,75,0.3191659983961508,9.34620985458605,33.35335930343717,104.50160565674912,104.50160565674912,0.0031175825151741952,FALSE,5,Outbreak basin
TB,0,0.46036829463570855,9.214284338522702,34.19936308404431,74.2869643338632,74.2869643338632,0.018333977112880505,FALSE,6,Endemic
SI,20,0.5785656728444802,8.492849429836497,16.16809473372996,27.94513309827142,27.94513309827142,0.009423348614254196,FALSE,7,Outbreak basin
TW,5,0.4238782051282051,9.879720385419205,37.786328026559204,89.14430506076727,89.14430506076727,0.005457810241381487,FALSE,8,Endemic
TB,5,0.46036829463570855,8.797109396662563,35.79614461166784,77.75545151299676,77.75545151299676,0.002055681945356679,FALSE,9,Endemic
RR,25,0.39556592765460913,5.628429752308875,30.432231249287724,76.93339876294861,76.93339876294861,0.0010047160456594089,FALSE,10,Endemic
AL,0,0.27884615384615385,8.430763538461179,31.909405246842653,114.4337291610909,114.4337291610909,0.002013979899097479,FALSE,11,Endemic
GR,15,0.45280000000000004,7.671985602704808,15.00716689741239,33.143036434214636,33.143036434214636,0.001867909238891544,FALSE,12,Endemic
AL,15,0.58,6.605443308828399,37.319239389616996,64.34351618899483,64.34351618899483,0.006390645738776281,FALSE,13,Endemic
RR,30,0.484,5.72261520056054,43.2736707595177,89.40841066016054,89.40841066016054,0.01788059226479024,FALSE,14,Endemic
SI,5,0.7510008006405124,8.260657938895747,28.58194717671722,38.05847763722794,38.05847763722794,0.004978274655792604,FALSE,15,Endemic
