sim_id,site_code,date,temp_c,r_t,N,N0,HC_prop,KE,KT,KC_raw,KC,scale,KC_constrained,basin_start,final_ratio_KC,final_ratio_KT,ended_above_KT,ended_near_KC,ended_near_KE,outcome
1,GR,2026-06-26,30.371103922526043,0.15,79.63073561575257,55,0.39519999999999994,8.813133382471278,34.252365566790104,86.67096550301142,86.67096550301142,0.004735429773985112,FALSE,Outbreak basin,0.9187706073608441,2.324824411338169,TRUE,FALSE,FALSE,Above threshold
2,RR,2026-06-26,30.371103922526043,0.15,6.362891606011509,30,0.5244195356285029,6.236049757804722,43.20043568266556,82.37762468343401,82.37762468343401,0.018737080639396553,FALSE,Endemic,0.07724053261384065,0.14728767211402588,FALSE,FALSE,FALSE,Intermediate
3,AL,2026-06-26,30.371103922526043,0.15,13.469383611650517,15,0.3111467522052927,9.922242102446035,43.400046976748854,139.48417159795315,139.48417159795315,0.00128012899903811,FALSE,Endemic,0.09656567807904716,0.3103541251664222,FALSE,FALSE,FALSE,Intermediate
4,AL,2026-06-26,30.371103922526043,0.15,7.1422465404378634,5,0.58,8.16316932439804,39.33165423804894,67.81319696215336,67.81319696215336,0.003198457007831751,FALSE,Endemic,0.10532236880712115,0.18159029104676064,FALSE,FALSE,TRUE,Endemic
5,TW,2026-06-26,30.371103922526043,0.15,100.08228569670518,75,0.3191659983961508,9.34620985458605,33.35335930343717,104.50160565674912,104.50160565674912,0.0031175825151741952,FALSE,Outbreak basin,0.9577105066255169,3.000665833572913,TRUE,TRUE,FALSE,Carrying capacity
6,TB,2026-06-26,30.371103922526043,0.15,9.188353362933038,0,0.46036829463570855,9.214284338522702,34.19936308404431,74.2869643338632,74.2869643338632,0.018333977112880505,FALSE,Endemic,0.1236872908366319,0.26867030653035345,FALSE,FALSE,TRUE,Endemic
7,SI,2026-06-26,30.371103922526043,0.15,24.332580853197314,20,0.5785656728444802,8.492849429836497,16.16809473372996,27.94513309827142,27.94513309827142,0.009423348614254196,FALSE,Outbreak basin,0.8707269622810433,1.5049751534690456,TRUE,FALSE,FALSE,Above threshold
8,TW,2026-06-26,30.371103922526043,0.15,9.106042942351527,5,0.4238782051282051,9.879720385419205,37.786328026559204,89.14430506076727,89.14430506076727,0.005457810241381487,FALSE,Endemic,0.10214946357082691,0.24098777039015498,FALSE,FALSE,TRUE,Endemic
9,TB,2026-06-26,30.371103922526043,0.15,6.964142355483247,5,0.46036829463570855,8.797109396662563,35.79614461166784,77.75545151299676,77.75545151299676,0.002055681945356679,FALSE,Endemic,0.0895646828611007,0.19455006764089527,FALSE,FALSE,TRUE,Endemic
10,RR,2026-06-26,30.371103922526043,0.15,23.82157019807015,25,0.39556592765460913,5.628429752308875,30.432231249287724,76.93339876294861,76.93339876294861,0.0010047160456594089,FALSE,Endemic,0.3096388640188701,0.7827743553515387,FALSE,FALSE,FALSE,Intermediate
11,AL,2026-06-26,30.371103922526043,0.15,4.762049052492119,0,0.27884615384615385,8.430763538461179,31.909405246842653,114.4337291610909,114.4337291610909,0.002013979899097479,FALSE,Endemic,0.041614033619305345,0.14923653435888815,FALSE,FALSE,TRUE,Endemic
