site,survey_id,date,site_type,cots,mean_size_cm,mean_depth_m,survey_area_ha,cots_density_ha,SST
Green Rock Wall,GR1,2020-05-19,High Density,9,42.55555555555556,9.944444444444445,0.2,45,31.39699935913086
Green Rock Wall,GR10,2020-08-18,High Density,9,35.55555555555556,11.61111111111111,0.2,45,30.150999069213867
Green Rock Wall,GR11,2020-08-21,High Density,4,42.5,11.5,0.2,20,29.968000411987305
Green Rock Wall,GR12,2020-08-21,High Density,6,34.166666666666664,7.583333333333333,0.2,30,29.968000411987305
Green Rock Wall,GR13,2020-09-22,High Density,8,45,9.75,0.2,40,29.763999938964844
Green Rock Wall,GR14,2020-09-27,High Density,9,43.888888888888886,10.777777777777779,0.2,45,30.257999420166016
Green Rock Wall,GR15,2020-09-29,High Density,9,41.666666666666664,10.055555555555555,0.2,45,29.594999313354492
Green Rock Wall,GR16,2022-10-20,High Density,10,37.5,11.3,0.2,50,28.364999771118164
Green Rock Wall,GR17,2022-11-22,High Density,6,40.833333333333336,13.266666666666666,0.2,30,28.34600067138672
Green Rock Wall,GR18,2023-10-04,High Density,5,40,13.4,0.2,25,29.115999221801758
Green Rock Wall,GR19,2024-02-03,High Density,3,40,10.4,0.2,15,29.20400047302246
Green Rock Wall,GR2,2020-05-19,High Density,10,37,10.13,0.2,50,31.39699935913086
Green Rock Wall,GR20,2024-02-20,High Density,11,46.36363636363637,9.727272727272727,0.2,55,29.298999786376953
Green Rock Wall,GR21,2024-03-25,High Density,5,40,12.2,0.2,25,29.767000198364258
Green Rock Wall,GR22,2024-04-09,High Density,7,50.142857142857146,9.857142857142858,0.2,35,30.674999237060547
Green Rock Wall,GR23,2024-04-16,High Density,8,49.25,12.375,0.2,40,31.201000213623047
Green Rock Wall,GR24,2024-06-04,High Density,8,45.875,11.85,0.2,40,31.54400062561035
Green Rock Wall,GR25,2024-08-03,High Density,6,45,10.5,0.2,30,29.940000534057617
Green Rock Wall,GR26,2024-08-26,High Density,14,47.142857142857146,11.114285714285714,0.2,70,30.496000289916992
Green Rock Wall,GR27,2024-10-16,High Density,11,43.36363636363637,12.045454545454545,0.2,55,30.746000289916992
Green Rock Wall,GR28,2024-10-21,High Density,4,36.5,12.75,0.2,20,29.77400016784668
Green Rock Wall,GR29,2025-01-29,High Density,9,41.611111111111114,12.177777777777777,0.2,45,27.211999893188477
Green Rock Wall,GR3,2020-05-26,High Density,10,35.5,10.9,0.2,50,31.150999069213867
Green Rock Wall,GR30,2025-02-19,High Density,4,49.5,11.15,0.2,20,27.211999893188477
Green Rock Wall,GR31,2025-02-28,High Density,3,41,9.8,0.2,15,27.211999893188477
Green Rock Wall,GR32,2025-03-19,High Density,4,37.25,10.625,0.2,20,27.211999893188477
Green Rock Wall,GR33,2025-03-26,High Density,10,44.5,10.93,0.2,50,27.211999893188477
