site,site_code,site_type,survey_id,date,cots_count,mean_size_cm,mean_depth_m,avg_survey_depth_m,duration_min,vis_m,area_ha,cots_ha,temp_c,temp_source
Aow Leuk,AL,Control,AL1,2025-02-28,1,37,10.5,9,25,10,0.2,5,28.246647516886394,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL10,2025-06-24,2,34,9.55,9,53,6,0.2,10,29.990393956502277,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL11,2025-08-07,0,NA,NA,6.6,16,20,0.2,0,30.214934666951496,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL12,2025-08-11,0,NA,NA,8.3,18,20,0.2,0,30.103479385375977,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL13,2025-08-28,1,56,7.5,8.4,20,12,0.2,5,29.657599767049152,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL14,2025-09-01,2,38,9,8.7,17,8,0.2,10,29.461589813232422,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL15,2025-09-25,0,NA,NA,8,14,15,0.2,0,29.582675298055012,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL16,2025-10-07,3,25,8.2,7.1,25,10,0.2,15,29.62517738342285,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL17,2026-02-10,2,33.5,9.149999999999999,7.5,30,6,0.2,10,28.30990727742513,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL18,2026-04-20,3,27,9.2,9,24,8,0.2,15,30.950791041056316,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL19,2026-05-12,0,NA,NA,7.7,25,2,0.2,0,30.500207265218098,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL2,2025-03-05,2,32,8.899999999999999,7,22,10,0.2,10,29.215516408284504,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL3,2025-03-05,0,NA,NA,7.6,24,10,0.2,0,29.215516408284504,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL4,2025-03-13,3,28.333333333333332,8.866666666666667,8,20,8,0.2,15,29.11518732706706,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL5,2025-04-21,1,38,9.2,6.8,25,18,0.2,5,30.595685958862305,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL6,2025-04-21,0,NA,NA,6.8,25,18,0.2,0,30.595685958862305,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL7,2025-04-16,3,43.333333333333336,9.233333333333334,7.3,61,10,0.2,15,30.165077845255535,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL8,2025-04-16,3,46.666666666666664,8.3,7.3,61,10,0.2,15,30.165077845255535,ANALYSISFORECAST_thetao_0.49m
Aow Leuk,AL,Control,AL9,2025-06-18,2,31.5,8.65,8.5,25,10,0.2,10,30.319406509399414,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI1,2025-02-05,0,NA,NA,11,NA,NA,0.2,0,27.719019571940105,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI10,2025-05-29,2,47,14,12,25,8,0.2,10,30.615158081054688,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI11,2025-05-29,0,NA,NA,12,25,8,0.2,0,30.615158081054688,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI12,2025-06-18,1,43,12.8,15.3,44,10,0.2,5,30.319406509399414,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI13,2025-08-07,4,27,15.25,12.6,25,20,0.2,20,30.214934666951496,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI14,2025-09-24,3,44.666666666666664,14.633333333333333,12.4,20,15,0.2,15,29.59722836812337,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI15,2025-10-02,2,42,13.25,10.8,47,15,0.2,10,29.941949208577473,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI16,2026-02-25,3,42.333333333333336,14.666666666666666,14,30,3,0.2,15,28.996610005696613,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI17,2026-02-25,1,53,10,10,30,3,0.2,5,28.996610005696613,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI18,2026-03-26,0,NA,NA,10,22,4,0.2,0,29.379878362019856,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI19,2026-04-16,0,NA,NA,9.8,30,17,0.2,0,30.815919240315754,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI2,2025-03-21,0,NA,NA,10,30,18,0.2,0,29.19139798482259,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI20,2026-05-28,0,NA,NA,12.4,30,2,0.2,0,30.286492029825848,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI3,2025-03-25,2,36,16.75,16,25,9,0.2,10,29.67974917093913,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI4,2025-03-25,1,42,14.4,11.3,25,9,0.2,5,29.67974917093913,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI5,2025-04-02,0,NA,NA,11.9,55,12,0.2,0,29.6018492380778,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI6,2025-04-07,0,NA,NA,11,NA,NA,0.2,0,29.51802698771159,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI7,2025-04-07,0,NA,NA,11,NA,NA,0.2,0,29.51802698771159,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI8,2025-05-06,0,NA,NA,8,NA,10,0.2,0,30.999684015909832,ANALYSISFORECAST_thetao_0.49m
Shark Island,SI,Control,SI9,2025-05-06,0,NA,NA,8,NA,10,0.2,0,30.999684015909832,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB1,2025-06-24,1,35,10.8,10,50,8,0.2,5,29.990393956502277,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB2,2025-08-11,1,32,8.7,8.3,22,10,0.2,5,30.103479385375977,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB3,2025-09-01,0,NA,NA,9,15,15,0.2,0,29.461589813232422,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB4,2025-09-30,1,44,10.6,9.1,20,8,0.2,5,29.3260014851888,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB5,2025-09-30,1,28,10.5,8.5,20,8,0.2,5,29.3260014851888,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB6,2026-02-10,0,NA,NA,9.5,30,15,0.2,0,28.30990727742513,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB7,2026-04-20,1,62,8.5,8,25,15,0.2,5,30.950791041056316,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB8,2026-05-12,0,NA,NA,8,25,2,0.2,0,30.500207265218098,ANALYSISFORECAST_thetao_0.49m
Tanote Bay,TB,Control,TB9,2026-06-15,1,50.4,10.2,7.9,30,12,0.2,5,30.751008987426758,ANALYSISFORECAST_thetao_0.49m
Green Rock,GR,High Density,GR1,2020-05-19,9,42.55555555555556,9.944444444444445,10,50,12,0.2,45,31.39699935913086,MULTIOBS_to_surface
Green Rock,GR,High Density,GR10,2020-08-18,9,35.55555555555556,11.61111111111111,12,45,12,0.2,45,30.150999069213867,MULTIOBS_to_surface
Green Rock,GR,High Density,GR11,2020-08-21,4,42.5,11.5,12,45,12,0.2,20,29.968000411987305,MULTIOBS_to_surface
Green Rock,GR,High Density,GR12,2020-08-21,6,34.166666666666664,7.583333333333333,6,45,18,0.2,30,29.968000411987305,MULTIOBS_to_surface
Green Rock,GR,High Density,GR13,2020-09-22,8,45,9.75,10,45,7,0.2,40,29.763999938964844,MULTIOBS_to_surface
Green Rock,GR,High Density,GR14,2020-09-27,9,43.888888888888886,10.777777777777779,10,45,18,0.2,45,30.257999420166016,MULTIOBS_to_surface
Green Rock,GR,High Density,GR15,2020-09-29,9,41.666666666666664,10.055555555555555,10,45,18,0.2,45,29.594999313354492,MULTIOBS_to_surface
Green Rock,GR,High Density,GR16,2022-10-20,10,37.5,11.3,10,45,18,0.2,50,28.364999771118164,MULTIOBS_to_surface
