Site,Location,Date,Quadrat,Point,Substrate,Genus,MORPH
Twins Wall,Wall,2024-05-01,1,1,SC,NA,NA
Twins Wall,Wall,2024-05-01,1,2,SC,NA,NA
Twins Wall,Wall,2024-05-01,1,3,RK,NA,NA
Twins Wall,Wall,2024-05-01,1,4,SP,NA,NA
Twins Wall,Wall,2024-05-01,1,5,HC,NA,ENC
Twins Wall,Wall,2024-05-01,1,6,HC,Acropora,BR
Twins Wall,Wall,2024-05-01,1,7,RU,NA,NA
Twins Wall,Wall,2024-05-01,1,8,RK,NA,NA
Twins Wall,Wall,2024-05-01,1,9,HC,Favites,MASS
Twins Wall,Wall,2024-05-01,1,10,RU,NA,NA
Twins Wall,Wall,2024-05-01,1,11,HC,Pavona,MASS
Twins Wall,Wall,2024-05-01,1,12,RU,NA,NA
Twins Wall,Wall,2024-05-01,1,13,SC,NA,NA
Twins Wall,Wall,2024-05-01,1,14,RK,NA,NA
Twins Wall,Wall,2024-05-01,1,15,HC,NA,SUBM
Twins Wall,Wall,2024-05-01,1,16,SC,NA,NA
Twins Wall,Wall,2024-05-01,1,17,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,1,18,RK,NA,NA
Twins Wall,Wall,2024-05-01,1,19,HC,Favites,NA
Twins Wall,Wall,2024-05-01,1,20,HC,NA,MASS
Twins Wall,Wall,2024-05-01,2,1,SC,NA,NA
Twins Wall,Wall,2024-05-01,2,2,RK,NA,NA
Twins Wall,Wall,2024-05-01,2,3,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,2,4,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,2,5,RK,NA,NA
Twins Wall,Wall,2024-05-01,2,6,HC,NA,ENC
Twins Wall,Wall,2024-05-01,2,7,HC,Porites,BR
Twins Wall,Wall,2024-05-01,2,8,SC,NA,NA
Twins Wall,Wall,2024-05-01,2,9,HC,Pavona,SUBM
Twins Wall,Wall,2024-05-01,2,10,SP,NA,NA
Twins Wall,Wall,2024-05-01,2,11,RU,NA,NA
Twins Wall,Wall,2024-05-01,2,12,SP,NA,NA
Twins Wall,Wall,2024-05-01,2,13,HC,Favites,BR
Twins Wall,Wall,2024-05-01,2,14,RU,NA,NA
Twins Wall,Wall,2024-05-01,2,15,RK,NA,NA
Twins Wall,Wall,2024-05-01,2,16,SP,NA,NA
Twins Wall,Wall,2024-05-01,2,17,RK,NA,NA
Twins Wall,Wall,2024-05-01,2,18,RK,NA,NA
Twins Wall,Wall,2024-05-01,2,19,SC,NA,NA
Twins Wall,Wall,2024-05-01,2,20,HC,Porites,ENC
Twins Wall,Wall,2024-05-01,3,1,HC,NA,MASS
Twins Wall,Wall,2024-05-01,3,2,HC,Favites,NA
Twins Wall,Wall,2024-05-01,3,3,RK,NA,NA
Twins Wall,Wall,2024-05-01,3,4,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,3,5,HC,NA,NA
Twins Wall,Wall,2024-05-01,3,6,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,3,7,SC,NA,NA
Twins Wall,Wall,2024-05-01,3,8,HC,Pavona,SUBM
Twins Wall,Wall,2024-05-01,3,9,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,3,10,HC,Favites,ENC
Twins Wall,Wall,2024-05-01,3,11,RK,NA,NA
Twins Wall,Wall,2024-05-01,3,12,HC,Acropora,SUBM
Twins Wall,Wall,2024-05-01,3,13,HC,Favites,ENC
Twins Wall,Wall,2024-05-01,3,14,RU,NA,NA
Twins Wall,Wall,2024-05-01,3,15,RK,NA,NA
Twins Wall,Wall,2024-05-01,3,16,RU,NA,NA
Twins Wall,Wall,2024-05-01,3,17,RU,NA,NA
Twins Wall,Wall,2024-05-01,3,18,RK,NA,NA
Twins Wall,Wall,2024-05-01,3,19,RK,NA,NA
Twins Wall,Wall,2024-05-01,3,20,HC,NA,SUBM
Twins Wall,Wall,2024-05-01,4,1,RU,NA,NA
Twins Wall,Wall,2024-05-01,4,2,UNKN,NA,NA
Twins Wall,Wall,2024-05-01,4,3,RU,NA,NA
